RSG-00-061-04-CCE,Cited by: 23  Impact Factor: 5.87,Cited by: 44  Impact Factor: 3.33
RSG-03-070-01-MGO,Cited by: 22  Impact Factor: 2.714
RSGT-08-009-01-CPHPS,Cited by: 7  Impact Factor: -
PF-06-252-01-MGO,Cited by: 42  Impact Factor: 5.87
RSG-12-085-01,Cited by: 0  Impact Factor: -
RSG-02-035-05-CCG,Cited by: 96  Impact Factor: 10.822,Cited by: 22  Impact Factor: 10.822,Cited by: 7  Impact Factor: 10.822
PF-10-057-01-MPC,Cited by: 12  Impact Factor: 5.621
PF-05-048-01-GMC,Cited by: 10  Impact Factor: 3.02,Cited by: 10  Impact Factor: 3.02
RSG-02-179-01,Cited by: 119  Impact Factor: 4.4
RSG-01-184-01-TBE,Cited by: 31  Impact Factor: 2.81
RSG-05-034-01-CSM,Cited by: 43  Impact Factor: 6.128
RPG-99-181-01,Cited by: 57  Impact Factor: 5.87
IRG-82-003-22,Cited by: 13  Impact Factor: 5.082
IRG-82-003-27,Cited by: 33  Impact Factor: 35.209
IRG-82-003-26,Cited by: 4  Impact Factor: 10.822
PF-99-125-01-CIM,Cited by: 54  Impact Factor: 13.214
RSG-06-122-01-CNE,Cited by: 28  Impact Factor: -
RSG-07-289-01-GMC,Cited by: 63  Impact Factor: 10.353
MRSGT-05-194-01-CPHPS,Cited by: 41  Impact Factor: 2.761
RPG CSM-100348,Cited by: 305  Impact Factor: 10.822
RSG-08-117-01-CCE,Cited by: 13  Impact Factor: 3.176,Cited by: 3  Impact Factor: 2.881
RSG-08-03-01-CSM,Cited by: 0  Impact Factor: 6.193,Cited by: 15  Impact Factor: 7.357
JFRA-314,Cited by: 91  Impact Factor: 10.822
RSG-09-282-01-CSM,Cited by: 22  Impact Factor: 6.636
RP-10-033-01-CCE,Cited by: 22  Impact Factor: 5.082,Cited by: 6  Impact Factor: -,Cited by: 6  Impact Factor: -
PF-08-257-01-CSM,Cited by: 12  Impact Factor: 4.469,Cited by: 79  Impact Factor: 7.524
RSG-09-175-01-CCE,Cited by: 14  Impact Factor: -,Cited by: 56  Impact Factor: 1.836
MSRGT-07-168-01-CPPB,Cited by: 14  Impact Factor: -
RSG-08-291-01-LIB,Cited by: 18  Impact Factor: 7.357
RPG-00-340-01-CSM,Cited by: 25  Impact Factor: 1.776
RGS-04-078-01-TBE,Cited by: 108  Impact Factor: 10.822
TURPG-00-129-01-PBP,Cited by: 264  Impact Factor: 1.585
RPG-00-096-01,Cited by: 53  Impact Factor: 2.61
RPG-97-163-04-CSM,Cited by: 148  Impact Factor: 10.822
RSG LIB-101051,Cited by: 35  Impact Factor: 12.69
01-221-01-PBP,Cited by: 0  Impact Factor: -
JFRA-635,Cited by: 184  Impact Factor: 10.822
IRG-93-037-09,Cited by: 44  Impact Factor: 10.822
RSG-07-035-01-CCG,Cited by: 68  Impact Factor: 5.442
RSG-04-077-01-TBE,Cited by: 18  Impact Factor: 2.699
PF-12-078-01-RMC,Cited by: 13  Impact Factor: 20.767
IRG 85-001-13-IRG,Cited by: 183  Impact Factor: 10.822
RSG-06-196-01-TBE,Cited by: 19  Impact Factor: 11.34
RSG-12-196-01-TBG,Cited by: 3  Impact Factor: 2.464
RPG-95-076-04-MGO,Cited by: 39  Impact Factor: 2.88
PTAPM-01-085-01,Cited by: 37  Impact Factor: 1.6
IRG-58-010-44,Cited by: 171  Impact Factor: 13.214
RSG-02-024-01-CDD,Cited by: 17  Impact Factor: 5.13
IRG 58-012-45,Cited by: 54  Impact Factor: 3.02
ACS-IRG #70-002,Cited by: 42  Impact Factor: 13.214
RSG-08-067-01-LIB,Cited by: 38  Impact Factor: 12.948
IRG-58-005-40,Cited by: 5  Impact Factor: 2.81
IRG-58-005-41,Cited by: 223  Impact Factor: 5.082
PF0523501,Cited by: 14  Impact Factor: 3.46
RSG-03-147-01-CSM,Cited by: 22  Impact Factor: -
