RSGGMC-112251,articles.I-N\Nat_Chem_Biol\Nat_Chem_Biol_2009_Feb_4_5(2)_100-107.nxml,Small molecule-mediated disruption of Wnt-dependent signaling in tissue regeneration and cancer,nature chemical biology,"Chen, Baozhi & Dodge, Michael E. & Tang, Wei & Lu, Jianming & Ma, Zhiqiang & Fan, Chih-Wei & Wei, Shuguang & Hao, Wayne & Kilgore, Jessica & Williams, Noelle S. & Roth, Michael G. & Amatruda, James F. & Chen, Chuo & Lum, Lawrence",422
RSG-03-048-01,articles.C-H\Chin_Med\Chin_Med_2007_Nov_29_2_12.nxml,Verification of the formulation and efficacy of Danggui Buxue Tang (a decoction of Radix Astragali and Radix Angelicae Sinensis ): an exemplifying systematic approach to revealing the complexity of Chinese herbal medicine formulae,chinese medicine,"Gao, Qiutao & Li, Jun & Cheung, Jerry Ka Hei & Duan, Jinao & Ding, Anwei & Cheung, Anna Wing Han & Zhao, Kuijun & Li, Winnie Zhuoming & Dong, Tina Tingxia & Tsim, Karl Wah Keung",
RSG-03-048-01,articles.O-Z\Open_Biol\Open_Biol_2012_Apr_2(4)_120060.nxml,Eps15R is required for bone morphogenetic protein signalling and differentially compartmentalizes with Smad proteins Eps15R mediates BMP signals,open biology,"Callery, Elizabeth M. & Park, Chong Yon & Xu, Xin & Zhu, Haitao & Smith, James C. & Thomsen, Gerald H.",
RSG-03-048-01,articles.I-N\J_Cell_Biol\J_Cell_Biol_1997_Mar_10_136(5)_1099-1108.nxml,Gamete Interactions in Xenopus laevis : Identification of Sperm Binding Glycoproteins in the Egg Vitelline Envelope,the journal of cell biology,"Tian, Jingdong & Gong, Hui & Thomsen, Gerald H. & Lennarz, William J.",
RSG-03-048-01,articles.I-N\Int_J_Nanomedicine\Int_J_Nanomedicine_2009_Oct_19_4_227-232.nxml,Amphiphilic poly{[ maleic anhydride  methoxy poly(ethylene glycol)] co (ethyl cyanoacrylate)} graft copolymer nanoparticles as carriers for transdermal drug delivery,international journal of nanomedicine,"Xing, Jinfeng & Deng, Liandong & Li, Jun & Dong, Anjie",
RSG-03-048-01,articles.A-B\BMC_Cancer\BMC_Cancer_2010_Oct_8_10_541.nxml,p27 Kip1 deficiency promotes prostate carcinogenesis but does not affect the efficacy of retinoids in pressing the neoplastic process,bmc cancer,"Taylor, Winna & Mathias, Amanda & Ali, Arshia & Ke, Hengning & Stoynev, Nikolay & Shilkaitis, Anne & Green, Albert & Kiyokawa, Hiroaki & Christov, Konstantin",
RSG-03-048-01,articles.O-Z\Tumour_Biol\Tumour_Biol_2012_Oct_19_33(5)_1619-1628.nxml,"MCAM is a novel metastasis marker and regulates spreading, apoptosis and invasion of ovarian cancer cells",tumour biology,"Wu, Zheng & Wu, Zhiyong & Li, Jun & Yang, Xiaomei & Wang, Yahui & Yu, Yi & Ye, Jun & Xu, Congjian & Qin, Wenxin & Zhang, Zhigang",
RSG-03-048-01,articles.O-Z\World_J_Surg_Oncol\World_J_Surg_Oncol_2012_Oct_8_10_213.nxml,Malignant epithelioid angiomyolipoma of the kidney with pulmonary metastases and p53 gene mutation,world journal of surgical oncology,"Li, Jun & Zhu, Ming & Wang, Yan-Li",
RSG-03-048-01,articles.I-N\J_Exp_Med\J_Exp_Med_1999_Aug_2_190(3)_341-354.nxml,"Endothelial Monocyte Activating Polypeptide Ii, a Novel Antitumor Cytokine That Suppresses Primary and Metastatic Tumor Growth and Induces Apoptosis in Growing Endothelial Cells",the journal of experimental medicine,"Schwarz, Margaret A. & Kandel, Jessica & Brett, Jerald & Li, Jun & Hayward, Joanne & Schwarz, Roderich E. & Chappey, Olivier & Wautier, Jean-Luc & Chabot, John & Gerfo, Paul Lo & Stern, David",
RSG-03-048-01,articles.O-Z\World_J_Surg_Oncol\World_J_Surg_Oncol_2012_Aug_3_10_158.nxml,Primary synovial sarcoma of the parapharyngeal space: a clinicopathologic study of five cases,world journal of surgical oncology,"Zhu, Ming & Li, Jun & Wang, Ke-Jing & Shang, Jin-Biao",
RSG-03-048-01,articles.O-Z\PLoS_ONE\PLoS_One_2013_Feb_28_8(2)_e57290.nxml,Tristetraprolin Mediates Radiation Induced TNF  Production in Lung Macrophages TTP Regulates Radiation Induced TNF  Production,plos one,"Ray, Dipankar & Shukla, Shirish & Allam, Uday Sankar & Helman, Abigail & Ramanand, Susmita Gurjar & Tran, Linda & Bassetti, Michael & Krishnamurthy, Pranathi Meda & Rumschlag, Matthew & Paulsen, Michelle & Sun, Lei & Shanley, Thomas P. & Ljungman, Mats & Nyati, Mukesh K. & Zhang, Ming & Lawrence, Theodore S.",
